ジャンル,メーカー,機材名,RHYTHM RED TMN TOUR,TOUR TMN EXPO,TOUR TMN EXPO FINAL CRAZY 4 YOU,TMN 4001 DAYS GROOVE,備考
ストリングマシン,ARP,solina String-Ensemble,,✓,✓,,
シンセサイザー,E-mu,MORPHEUS,,,,✓,
シンセサイザー,E-mu,PROTEUS/1<br>PROTEUS/2,,,,✓,
シンセサイザー,ensoniq,VFX,✓,✓,✓,,TOUR TMN EXPO FINAL CRAZY 4 YOUではVFX-SDも
オルガン,HAMMOND,L-112,✓,✓,✓,✓,
シンセサイザー,KORG,01/W,,✓,✓,✓,TMN 4001 DAYS GROOVEでは01R/W
シンセサイザー,KORG,M1R,,✓,✓,,
シンセサイザー,KORG,WAVESTATION,,,✓,✓,TMN 4001 DAYS GROOVEではWAVESTATION A/D
シンセサイザー,moog,memorymoog,✓,✓,✓,✓,
シンセサイザー,moog,System 35,,✓,✓,,
シンセサイザー,Roland,JD-800,,,✓,✓,TMN 4001 DAYS GROOVEではJD-990も
シンセサイザー,Roland,JV-880,,,,✓,
シンセサイザー,STUDIO ELECTRONICS,MIDIMOOG,✓,✓,,,
シンセサイザー,Synclavier,Synclavier 6400,✓,✓,✓,✓,
キーボード,,Tetsuya's Mind Control,✓,✓,✓,,
シンセサイザー,waldorf,WAVE,,,,✓,
シンセサイザー,YAMAHA,EOS B500,✓,✓,✓,✓,TMN 4001 DAYS GROOVEではB700
キーボード,YAMAHA,KX5,,✓,✓,,
シンセサイザー,YAMAHA,P-500,,,,✓,
シンセサイザー,YAMAHA,SY99,✓,✓,✓,✓,RHYTHM RED TMN TOURではSY77
シンセサイザー,YAMAHA,TG77,✓,✓,✓,✓,
シンセサイザー,YAMAHA,TX802,,✓,✓,,TOUR TMN EXPOではDX7II-FDも
シンセサイザー,YAMAHA,VP1,,,,✓,
ドラム,SIMMONS,SDX,✓,,,,
ドラム,YAMAHA,PTT8,✓,,,,
ドラム,YAMAHA,RX5,,✓,✓,,
ドラム,Zildjian,"16"" CRASH<br>16"" medium thin<br>10"" SPLASH<br>18"" China",✓,,,,
エフェクター・ミキサー,t.c. electronic,TC2290,✓,✓,,,TOUR TMN EXPOではTC1210も
エフェクター・ミキサー,Eventide,H3000 SE,,✓,✓,,
エフェクター・ミキサー,ROCKTRON,HUSH IIB,✓,,,,
エフェクター・ミキサー,YAMAHA,DMP7,✓,✓,✓,,TOUR TMN EXPO・TOUR TMN EXPO FINAL CRAZY 4 YOUではDMP11も
ミキサー,YAMAHA,MC2408M,✓,,,,
ミキサー,YAMAHA,MV802<br>MV1602,,,✓,,
サンプラー,AKAI,DD1000,,✓,✓,,
サンプラー,AKAI,S1100,,,,✓,
サンプラー,ensoniq,ASR-10R,,,,✓,
サンプラー,Roland,S-550,,✓,✓,✓,
サンプラー,YAMAHA,TX16W,✓,✓,✓,,
